Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Easington_hourly,500,24,0.00075,64,503.18903,19.845825,22.431875219849683,0.49637115,-0.27792,70.457054,49.686554,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00075,64,69.392815,7.6571565,8.330234968848746,2.221366,-1.6456854,378781630.0,119.07211,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00075,64,58.10715,5.8184147,7.622804669640574,0.17638218,-117.12841,13.458803,13.223973,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00075,64,135.37756,8.706453,11.635186439269571,0.24457885,-1.252917,227618350.0,20.80478,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00075,64,958.61743,24.116453,30.961547629933246,0.2363229,-10.316012,19.080605,16.914568,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0005,16,364.60806,16.239582,19.094712952651072,0.42252663,0.07402605,52.03744,43.0939,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0005,16,39.664207,4.3721533,6.297952640223336,1.6794314,-0.51224613,97817896.0,119.96297,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0005,16,43.31916,5.112848,6.581729291107754,0.152293,-87.06529,11.8404,11.949277,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0005,16,91.751945,6.866298,9.578723583839627,0.20135073,-0.52691126,181605870.0,16.758814,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0005,16,818.3381,21.85408,28.60660891700498,0.21834815,-8.660083,17.422428,15.237684,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0005,32,446.90378,17.93145,21.140098818978398,0.4677868,-0.13497567,53.589394,46.986675,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0005,32,51.22611,6.281641,7.15724168594476,1.9085721,-0.9530575,297337250.0,109.68725,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0005,32,61.584656,6.5822177,7.847589168765064,0.1815834,-124.19797,15.219137,15.848205,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0005,32,141.81967,9.316917,11.908806473818414,0.25033054,-1.3601251,233609900.0,23.074072,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0005,32,862.0121,22.835278,29.360042318786558,0.22409895,-9.175632,18.152151,16.654716,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0005,64,510.9188,19.052505,22.603512840366413,0.50016916,-0.2975508,74.44305,46.805313,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0005,64,72.22121,7.8024497,8.498306105632997,2.2661846,-1.7535212,395096740.0,119.1353,5.1213937,3.7500505
